episode_reward_mean,episode_len_mean,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/weights_norm,info/grad_norm,info/update_ratio,info/episodes_this_iter,info/episodes_so_far,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0
4.4297385,nan,280,False,4480,,16,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-19-24,1660281564,74.30806231498718,1247.228012084961,74872,jschang,210.221.116.119,1247.228012084961,4480,16,6.272470235824585,830.26294,52.488262,0.03944716,280,4480,66.39423076923077,30.075961538461538,0.06538461538461539,0.0703125
4.4297385,nan,280,False,4760,,17,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-20-37,1660281637,72.62869310379028,1319.8567051887512,74872,jschang,210.221.116.119,1319.8567051887512,4760,17,6.272470235824585,847.5848,45.093117,0.03804288,280,4760,66.15544554455445,30.07227722772277,0.058514851485148504,0.07035117574257425
3.691449,1.0,280,False,5040,,18,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-21-52,1660281712,74.82857584953308,1394.6852810382843,74872,jschang,210.221.116.119,1394.6852810382843,5040,18,6.272470235824585,864.42456,52.075417,0.037264034,280,5040,63.94761904761905,30.184761904761906,0.05923809523809524,0.07037450396825397
4.249227,1.0,280,False,5320,,19,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-23-12,1660281792,80.21712040901184,1474.9024014472961,74872,jschang,210.221.116.119,1474.9024014472961,5320,19,6.272470235824585,881.01184,43.890358,0.036130108,280,5320,65.58828828828828,30.31711711711712,0.07675675675675674,0.07037701764264263
4.249227,nan,280,False,5600,,20,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-24-30,1660281870,77.89587497711182,1552.798276424408,74872,jschang,210.221.116.119,1552.798276424408,5600,20,6.272470235824585,897.12915,51.53271,0.03551493,280,5600,67.01559633027522,30.378899082568804,0.06532110091743118,0.07035132358562692
9.577866,1.0,280,False,5880,,21,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-26-06,1660281966,96.29129838943481,1649.0895748138428,74872,jschang,210.221.116.119,1649.0895748138428,5880,21,6.272470235824585,912.8977,55.73318,0.035119403,280,5880,69.02164179104479,30.479850746268657,0.06014925373134328,0.07032221703980099
9.577866,nan,280,False,6160,,22,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-27-40,1660282060,93.36405897140503,1742.4536337852478,74872,jschang,210.221.116.119,1742.4536337852478,6160,22,6.272470235824585,928.4553,47.60439,0.034230657,280,6160,70.0114503816794,30.306870229007632,0.057786259541984734,0.07033237913486004
9.577866,nan,280,False,6440,,23,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-28-47,1660282127,67.54786682128906,1810.0015006065369,74872,jschang,210.221.116.119,1810.0015006065369,6440,23,6.272470235824585,943.6181,35.27652,0.032928478,280,6440,64.2127659574468,30.060638297872345,0.07276595744680851,0.07034020390070922
9.34007,1.0,280,False,6720,,24,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-29-56,1660282196,69.37474012374878,1879.3762407302856,74872,jschang,210.221.116.119,1879.3762407302856,6720,24,6.272470235824585,958.3484,36.014477,0.031809952,280,6720,62.18969072164949,30.098969072164948,0.05793814432989692,0.0703393470790378
9.34007,nan,280,False,7000,,25,default,5e3e12173757487bb8d5cace6d7067b1,2022-08-12_14-31-16,1660282276,79.22716498374939,1958.603405714035,74872,jschang,210.221.116.119,1958.603405714035,7000,25,6.272470235824585,972.7013,47.39212,0.031582214,280,7000,67.72727272727272,30.274545454545454,0.05972727272727272,0.07033617424242425
