,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_17.bc,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196104,196840,196840,196840,196840,196840,192440,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196840,196696,196840,196840,196840,196696,196840
csmith_18.bc,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21056,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21064,21120,21064,21064,21064,21120,21064
csmith_19.bc,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,32488,33784,33784,33784,33784,33784,32712,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,33784,34496,33784,33784,33784,34496,33784
csmith_20.bc,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,17240,19376,19376,19376,19376,19376,18584,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19376,19688,19376,19376,19376,19688,19376
csmith_21.bc,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,178536,175776,175776,175776,175776,175776,175528,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175776,175824,175776,175776,175776,175824,175776
csmith_22.bc,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,76440,73024,73024,73024,73024,73024,72560,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73024,73112,73024,73024,73024,73112,73024
csmith_23.bc,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16440,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16448,16456,16448,16448,16448,16456,16448
csmith_24.bc,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,131640,132728,132728,132728,132728,132728,128264,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132728,132944,132728,132728,132728,132944,132728
csmith_25.bc,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,96536,102200,102200,102200,102200,102200,101776,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,102200,101992,102200,102200,102200,101992,102200
csmith_26.bc,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16736,16744,16736,16736,16736,16744,16736
csmith_27.bc,113328,113328,113328,113328,113328,113328,113296,113328,113328,113328,113328,113296,112128,113328,113328,113328,113328,113328,112976,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,113328,112840,113328,113328,113328,112840,113328
csmith_28.bc,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,195968,199728,199728,199728,199728,199728,187120,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199728,199720,199728,199728,199728,199720,199728
csmith_29.bc,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42592,42768,42768,42768,42768,42768,41720,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,42768,43304,42768,42768,42768,43304,42768
csmith_30.bc,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16496,16472,16472,16472,16496,16472
csmith_31.bc,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,59976,65152,65152,65152,65152,65152,60240,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65152,65048,65152,65152,65152,65048,65152
csmith_32.bc,60240,60240,60240,60240,60240,60240,60080,60240,60240,60240,60240,60080,61720,60240,60240,60240,60240,60240,59552,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,60240,61016,60240,60240,60240,61016,60240
