,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_115,14920,14920,14920,14904,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14888,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920,14920
csmith_116,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_117,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_118,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38008,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056,38056
csmith_119,23448,23464,23448,23448,23432,23448,23448,23464,23448,23464,23448,23448,23448,23464,23448,23464,23448,23432,23400,23448,23464,23464,23448,23448,23432,23448,23448,23448,23448,23432,23448,23448,23448,23448,23448,23448,23448,23432,23448,23448,23464,23464,23448,23464,23464,23432,23432,23432,23448,23448
csmith_12,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31320,31304,31304,31304,31304,31304,31016,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304,31304
csmith_120,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14264,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280
csmith_121,40088,40104,40088,40088,40072,40088,40088,40104,40088,40104,40088,40088,40088,40104,40088,40104,40088,40072,39976,40088,40104,40104,40088,40088,40072,40088,40088,40088,40088,40072,40088,40088,40088,40088,40088,40088,40088,40072,40088,40088,40104,40104,40088,40104,40104,40072,40072,40072,40088,40088
csmith_122,9160,9160,9160,9144,9160,9160,9160,9160,9160,9160,9160,9160,9144,9160,9160,9160,9160,9160,9240,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160,9160
csmith_123,10520,10536,10520,10520,10504,10520,10520,10536,10520,10536,10520,10520,10520,10536,10520,10536,10520,10504,10472,10520,10536,10536,10520,10520,10504,10520,10520,10520,10520,10504,10520,10520,10520,10520,10520,10520,10520,10504,10520,10520,10536,10536,10520,10536,10536,10504,10504,10504,10520,10520
