Reward,Memory (%),Speed (%)
19200,-0.8412,-4.5349
-1600,0.0876,-3.5494
-123200,4.7138,-1.7519
1600,-0.1467,-3.228
8000,-0.3088,-0.4158
-4800,0.3384,-2.5906
1600,-0.1203,-2.975
3200,-0.2502,-3.568
6400,-0.2675,-4.8309
17600,-0.4765,-2.5249
8000,-0.3488,-1.0115
12800,-1.3104,-3.3138
17600,-0.739,-3.3341
22400,-1.3759,-3.8352
4800,-0.1565,-2.7751
43200,-1.3097,-2.6991
27200,-0.7722,-0.0253
0,0.0,-3.4962
19200,-0.846,-0.7514
1600,-0.0744,-0.3734
12800,-0.411,-0.396
12800,-0.5812,-4.2016
19200,-1.4643,-2.191
12800,-0.2856,-2.2401
28800,-0.8244,-1.0822
25600,-1.2673,-1.7328
14400,-0.2641,5.1938
4800,-0.2805,-3.8093
8000,-0.3535,-1.6133
12800,-0.4744,-0.9897
-4800,0.248,-1.3465
19200,-0.4256,-2.4031
4800,-0.2307,-1.3339
11200,-0.4213,-3.4877
14400,-0.7669,-5.712
16000,-0.4389,-3.2611
6400,-0.8024,-2.5785
27200,-0.8291,-4.3272
12800,-0.4333,-5.0528
8000,-0.3522,-1.0248
32000,-1.0222,-4.7551
19200,-0.5267,-2.4119
44800,-1.1158,1.2355
9600,-0.4603,-2.5342
17600,-0.742,-1.8234
12800,-0.3192,-3.2517
28800,-0.6204,-2.5167
6400,-0.2836,-2.0525
33600,-0.7947,3.0795
6400,-0.3251,-9.1443
8000,-0.2853,-3.9199
25600,-0.5582,1.5845
6400,-0.2728,-0.7377
6400,-0.4336,-6.9864
6400,-0.4432,-1.336
12800,-0.625,-9.4903
6400,-0.3168,-1.655
6400,-0.6038,-1.0345
11200,-0.5684,-0.7049
3200,-0.158,1.8854
0,0.0,-0.2141
6400,-0.5743,-3.4465
-6400,0.4966,0.5011
12800,-0.9233,-2.1235
1600,-0.0867,-5.8572
11200,-0.5317,-0.9831
3200,-0.1775,-2.2292
