Reward,Memory (%),Speed (%)
19200,-0.8412,0.9551
-1600,0.0876,3.6638
-123200,4.7138,1.1297
1600,-0.1467,0.1338
8000,-0.3088,-1.3276
-4800,0.3384,0.1287
1600,-0.1203,-1.0079
1600,-0.1251,-2.0708
3200,-0.1337,0.0814
17600,-0.4765,-0.3808
8000,-0.3488,-2.6503
12800,-1.3104,2.2481
17600,-0.739,-1.7609
22400,-1.3759,1.0128
4800,-0.1565,1.1431
44800,-1.3582,0.7518
25600,-0.7268,-4.9054
1600,-0.0699,-3.4795
14400,-0.6345,-5.0946
1600,-0.0744,-1.5023
12800,-0.411,-0.4006
12800,-0.5812,-2.4993
19200,-1.4643,-0.7753
12800,-0.2856,-0.1192
25600,-0.7328,-1.4582
25600,-1.2673,-0.8943
12800,-0.2348,4.4137
4800,-0.2805,-0.1253
8000,-0.3535,-2.5191
12800,-0.4744,3.4657
-4800,0.248,-2.7788
19200,-0.4256,1.8501
4800,-0.2307,3.8123
11200,-0.4213,-1.5659
14400,-0.7669,-0.0562
16000,-0.4389,-1.2051
6400,-0.8024,11.8671
27200,-0.8291,-2.1612
11200,-0.3793,-3.0485
8000,-0.3522,1.37
30400,-0.9711,6.6934
19200,-0.5267,-1.7116
43200,-1.0759,1.6772
9600,-0.4603,-0.6561
17600,-0.742,-4.0623
11200,-0.2794,-2.723
28800,-0.6204,4.7271
6400,-0.2836,1.9596
33600,-0.7947,-1.4434
6400,-0.3251,-7.6961
8000,-0.2853,-3.1498
25600,-0.5582,-5.4071
6400,-0.2728,0.9185
6400,-0.4336,-1.702
6400,-0.4432,-1.4424
12800,-0.625,0.0133
6400,-0.3168,0.3181
6400,-0.6038,-3.5435
11200,-0.5684,-1.0961
3200,-0.158,-3.4683
0,0.0,-4.1972
6400,-0.5743,-0.4092
-6400,0.4966,-1.124
6400,-0.4616,-1.1801
1600,-0.0867,-1.2465
11200,-0.5317,2.4029
3200,-0.1775,-2.0548
