Reward,Memory (%),Speed (%)
19200,-0.8412,-3.4272
-1600,0.0876,-1.4521
-123200,4.7138,-0.0093
1600,-0.1467,2.1466
8000,-0.3088,-1.6864
-4800,0.3384,-2.3256
1600,-0.1203,0.7491
1600,-0.1251,-2.3949
6400,-0.2675,-2.1084
17600,-0.4765,-3.3931
8000,-0.3488,0.5461
6400,-0.6552,-2.5465
17600,-0.739,-0.1899
20800,-1.2776,1.7595
4800,-0.1565,-3.4878
43200,-1.3097,0.6084
25600,-0.7268,0.4732
0,0.0,-0.2621
19200,-0.846,-13.1869
1600,-0.0744,-0.2003
11200,-0.3596,-0.8025
12800,-0.5812,-1.1632
19200,-1.4643,-3.6634
11200,-0.2499,1.5314
25600,-0.7328,1.6594
25600,-1.2673,-1.1096
12800,-0.2348,1.7316
3200,-0.187,-2.0931
8000,-0.3535,-3.3189
12800,-0.4744,-1.1114
-4800,0.248,-0.5676
19200,-0.4256,0.007
4800,-0.2307,-3.9866
9600,-0.3611,-0.5123
14400,-0.7669,-0.644
16000,-0.4389,0.9027
6400,-0.8024,0.2681
27200,-0.8291,1.4823
12800,-0.4333,0.0447
8000,-0.3522,-4.0121
30400,-0.9711,1.2539
19200,-0.5267,1.1108
38400,-0.9564,-0.8766
8000,-0.3836,-1.4338
17600,-0.742,1.5268
19200,-0.4788,2.5479
28800,-0.6204,-0.0934
6400,-0.2836,0.3048
33600,-0.7947,0.7747
6400,-0.3251,-9.4585
8000,-0.2853,-0.9896
12800,-0.2791,4.0065
6400,-0.2728,-1.8537
6400,-0.4336,-3.1845
6400,-0.4432,-9.1479
12800,-0.625,3.2905
6400,-0.3168,-1.7024
6400,-0.6038,-2.6709
11200,-0.5684,-1.6591
3200,-0.158,-2.5484
0,0.0,-0.6537
6400,-0.5743,2.6669
-8000,0.6207,-1.8484
6400,-0.4616,-1.6135
1600,-0.0867,-3.9148
11200,-0.5317,-4.4861
3200,-0.1775,-1.206
