Reward,Memory (%),Speed (%)
19200,-0.8412,-1.3021
-1600,0.0876,2.8925
-123200,4.7138,-4.8101
1600,-0.1467,-2.6835
8000,-0.3088,1.3938
-4800,0.3384,-0.3531
1600,-0.1203,0.1409
1600,-0.1251,0.5545
6400,-0.2675,-4.9816
17600,-0.4765,5.178
8000,-0.3488,-0.8841
12800,-1.3104,1.4262
17600,-0.739,-0.5281
22400,-1.3759,0.8923
4800,-0.1565,-5.1661
43200,-1.3097,-3.305
25600,-0.7268,-1.2347
0,0.0,-4.6394
19200,-0.846,-1.6269
1600,-0.0744,1.3327
11200,-0.3596,-0.5504
12800,-0.5812,-3.2882
19200,-1.4643,-2.5403
12800,-0.2856,-2.6621
28800,-0.8244,-10.5255
25600,-1.2673,-1.8496
12800,-0.2348,1.7566
4800,-0.2805,-0.894
8000,-0.3535,-0.3568
12800,-0.4744,0.0616
-4800,0.248,1.6545
19200,-0.4256,-3.7885
4800,-0.2307,-4.0551
11200,-0.4213,-0.5381
14400,-0.7669,-1.7295
16000,-0.4389,-2.2637
6400,-0.8024,0.2159
27200,-0.8291,4.7566
12800,-0.4333,-4.504
3200,-0.1409,-3.3119
32000,-1.0222,-0.4668
19200,-0.5267,-2.5363
43200,-1.0759,-1.7595
9600,-0.4603,0.615
17600,-0.742,-3.1604
12800,-0.3192,-3.0022
28800,-0.6204,3.177
6400,-0.2836,-0.3253
33600,-0.7947,-1.7007
6400,-0.3251,-4.0901
8000,-0.2853,6.2576
12800,-0.2791,-2.9585
6400,-0.2728,-1.0623
6400,-0.4336,-1.7204
6400,-0.4432,-1.4898
12800,-0.625,-3.2832
6400,-0.3168,-0.1106
6400,-0.6038,-0.457
9600,-0.4872,-2.3271
3200,-0.158,-0.5276
0,0.0,-1.117
6400,-0.5743,-1.9068
-6400,0.4966,-0.1205
6400,-0.4616,1.9212
1600,-0.0867,-4.6794
11200,-0.5317,0.3785
3200,-0.1775,-3.2408
