Reward,Memory (%),Speed (%)
19200,-0.8412,-2.8301
-1600,0.0876,-0.2343
-123200,4.7138,-0.1887
1600,-0.1467,-3.4208
8000,-0.3088,-2.0104
0,0.0,-3.5954
1600,-0.1203,-1.4986
1600,-0.1251,-3.6061
6400,-0.2675,-1.442
17600,-0.4765,0.2609
8000,-0.3488,-1.8663
12800,-1.3104,3.0025
17600,-0.739,-3.569
22400,-1.3759,0.4178
4800,-0.1565,-1.4911
43200,-1.3097,-2.0539
25600,-0.7268,-3.0961
0,0.0,-2.4325
19200,-0.846,-2.0408
1600,-0.0744,-3.6357
11200,-0.3596,0.729
12800,-0.5812,-3.5639
19200,-1.4643,-2.2782
11200,-0.2499,-5.2926
28800,-0.8244,-3.3753
25600,-1.2673,-1.8711
12800,-0.2348,-2.6855
4800,-0.2805,-2.7646
8000,-0.3535,-3.1458
12800,-0.4744,-5.1302
-4800,0.248,-6.2956
19200,-0.4256,-4.818
4800,-0.2307,-2.5994
11200,-0.4213,-0.957
14400,-0.7669,-6.3637
16000,-0.4389,-3.2108
6400,-0.8024,-4.5283
27200,-0.8291,-3.332
12800,-0.4333,-5.1094
8000,-0.3522,1.0036
32000,-1.0222,-0.5839
19200,-0.5267,-3.7219
43200,-1.0759,-4.3391
9600,-0.4603,1.3868
17600,-0.742,-2.6139
12800,-0.3192,-2.7359
28800,-0.6204,-4.6502
6400,-0.2836,-3.2992
33600,-0.7947,-2.1692
6400,-0.3251,-6.9959
8000,-0.2853,-3.2434
25600,-0.5582,2.0229
6400,-0.2728,-1.3111
6400,-0.4336,-2.9167
6400,-0.4432,-3.1269
12800,-0.625,-6.6335
6400,-0.3168,-2.0814
6400,-0.6038,-2.7612
9600,-0.4872,-4.275
3200,-0.158,-2.9461
0,0.0,-1.3021
6400,-0.5743,-2.6797
-6400,0.4966,-1.336
6400,-0.4616,-5.2582
1600,-0.0867,-2.3961
11200,-0.5317,1.4322
3200,-0.1775,-0.6992
