Total Memory,Memory Reduction (b),Total Time,Time Reduction (s),Base Total Memory,Base Total Time (s)
22808,0,0.10727054800000001,0.0013579659999999882,22808,0.108628514
18264,0,0.10668680333333332,-0.0024075753333333144,18264,0.104279228
26136,0,0.06893881466666667,-0.001510158999999997,26136,0.06742865566666667
10904,0,0.088133768,-9.369033333334054e-05,10904,0.08804007766666666
25904,0,0.15099913,0.02251989133333332,25904,0.17351902133333333
14168,0,0.13051110633333332,0.0009976896666666901,14168,0.131508796
13304,0,0.21294736566666664,0.003948148666666679,13304,0.21689551433333332
12792,0,0.14862604733333332,-0.0002737783333333077,12792,0.148352269
23928,0,0.11560809999999999,0.0035750956666666805,23928,0.11918319566666667
36936,0,0.14855933600000001,0.0005713316666666468,36936,0.14913066766666666
22936,0,0.107859361,-0.0012232663333333338,22936,0.10663609466666667
9752,0,0.06276381033333334,0.0009212819999999955,9752,0.06368509233333333
23816,0,0.05769727233333333,0.0010761000000000034,23816,0.05877337233333333
16280,0,0.08112914633333333,0.0005249103333333227,16280,0.08165405666666666
30664,0,0.06240983766666667,-0.0005306159999999976,30664,0.06187922166666667
32984,0,0.053238339,0.003318416666666657,32984,0.05655675566666666
35224,0,0.06171139766666667,0.0003716789999999928,35224,0.06208307666666666
22872,0,0.06457924466666666,0.0008063926666666693,22872,0.06538563733333333
22680,0,0.09077498899999999,-0.0006294479999999908,22680,0.090145541
21512,0,0.045076226999999996,-0.0002656080000000005,21512,0.044810618999999996
31144,0,0.037607988333333335,-8.005966666667363e-05,31144,0.03752792866666666
22024,0,0.04483674333333334,0.00016910900000000062,22024,0.04500585233333334
13112,0,0.14335358366666665,0.0015630256666666897,13112,0.14491660933333333
44816,0,0.05455473266666667,0.001163514999999997,44816,0.055718247666666665
34936,0,0.103333516,0.0018162606666666525,34936,0.10514977666666665
20248,0,0.08070170933333333,-7.980266666665625e-05,20248,0.08062190666666667
54520,0,0.030062516,0.0012067489999999965,54520,0.031269265
17112,0,0.052243171666666664,-0.0007873449999999949,17112,0.05145582666666667
22632,0,0.04928462433333333,0.0015983380000000047,22632,0.05088296233333334
26984,0,0.042986002999999995,0.0016186320000000087,26984,0.044604635000000004
19352,0,0.05020672833333333,-0.00020600566666666847,19352,0.050000722666666664
45112,0,0.04378084499999999,0.0013278906666666784,45112,0.04510873566666667
20808,0,0.039147256,0.0006769049999999985,20808,0.039824161
26584,0,0.04811835466666667,-0.0013600323333333372,26584,0.04675832233333333
18776,0,0.035871906333333335,0.0004783893333333289,18776,0.036350295666666664
36456,0,0.053421601000000006,0.00022157366666665512,36456,0.05364317466666666
8024,0,0.030066618666666666,-0.0019051533333333329,8024,0.028161465333333333
32808,0,0.03477096566666666,-0.0003765886666666565,32808,0.034394377000000004
29528,0,0.05400329366666667,0.0005741626666666624,29528,0.05457745633333333
22712,0,0.075670784,-0.0008947286666666776,22712,0.07477605533333333
31304,0,0.041580988666666666,0.0017424450000000022,31304,0.04332343366666667
36440,0,0.055013562999999994,0.000806144666666668,36440,0.05581970766666666
40152,0,0.05635537666666667,0.0009191966666666634,40152,0.057274573333333335
20856,0,0.068565571,0.0006832640000000029,20856,0.06924883500000001
23720,0,0.054858288666666664,-0.0005215313333333249,23720,0.05433675733333334
40088,0,0.032623484,0.0016836513333333275,40088,0.03430713533333333
46424,0,0.038030623,0.0009115739999999983,46424,0.038942197
22552,0,0.08086575633333333,0.0008469210000000005,22552,0.08171267733333333
42280,0,0.119798854,0.0002599429999999986,42280,0.120058797
19672,0,0.02649572433333333,0.0022119643333333334,19672,0.028707688666666665
28040,0,0.034595765333333334,0.0013009829999999986,28040,0.03589674833333333
45848,0,0.035604027,0.0014762379999999978,45848,0.037080265
23448,0,0.07268266966666666,-0.0016265413333333145,23448,0.07105612833333334
14760,0,0.066100527,0.00012188199999998983,14760,0.066222409
14424,0,0.06789092466666667,0.0011432759999999986,14424,0.06903420066666667
20480,0,0.045666012666666665,0.0005829170000000022,20480,0.04624892966666667
20184,0,0.05541478933333333,-0.0004248003333333361,20184,0.054989988999999996
10584,0,0.09818913366666666,0.0013645053333333212,10584,0.09955363899999999
19704,0,0.6422981496666668,-0.005139599333333411,19704,0.6371585503333334
20248,0,0.06852013133333333,-0.0031687109999999907,20248,0.06535142033333334
14744,0,0.098119747,-0.0023313103333333363,14744,0.09578843666666666
11144,0,0.12811222666666666,0.00275535766666668,11144,0.13086758433333334
12888,0,0.139467643,0.002633875666666674,12888,0.14210151866666668
13848,0,0.07786855166666666,0.0028147283333333356,13848,0.08068328
18456,0,0.07833982566666667,0.0022742926666666635,18456,0.08061411833333333
21064,0,0.05616450666666667,0.0017236593333333286,21064,0.057888166
18024,0,0.075257428,0.0020786336666666627,18024,0.07733606166666666
