Reward,Memory (%),Speed (%)
19200,-0.8412,-1.4538
1600,-0.0876,-2.4462
1600,-0.0612,-0.1382
1600,-0.1467,0.0584
8000,-0.3088,-4.6409
0,0.0,-3.3548
0,0.0,-0.5831
1600,-0.1251,2.6131
6400,-0.2675,-1.2818
17600,-0.4765,-1.8275
8000,-0.3488,-1.9808
12800,-1.3104,0.1152
17600,-0.739,0.2544
1600,-0.0983,-1.0657
4800,-0.1565,-2.2344
43200,-1.3097,0.2733
25600,-0.7268,-1.9678
6400,-0.2796,1.4081
19200,-0.846,-1.8986
1600,-0.0744,-2.39
11200,-0.3596,3.0836
12800,-0.5812,2.0409
19200,-1.4643,-1.4367
12800,-0.2856,-2.9855
6400,-0.1832,-2.1306
25600,-1.2673,-3.8881
12800,-0.2348,1.3351
4800,-0.2805,-3.0805
8000,-0.3535,-1.8798
12800,-0.4744,0.8204
0,0.0,-4.3139
19200,-0.4256,-5.9209
4800,-0.2307,-1.7529
11200,-0.4213,-1.4333
14400,-0.7669,-4.2137
16000,-0.4389,-2.8805
6400,-0.8024,-0.4881
27200,-0.8291,-2.8569
12800,-0.4333,-2.7574
1600,-0.0704,-1.061
0,0.0,-0.4814
19200,-0.5267,-0.281
43200,-1.0759,1.7165
3200,-0.1534,-1.9901
17600,-0.742,-3.9589
12800,-0.3192,-2.2837
28800,-0.6204,0.4914
6400,-0.2836,-5.6825
33600,-0.7947,-2.1713
6400,-0.3251,-6.0227
8000,-0.2853,-6.6451
12800,-0.2791,-4.5765
6400,-0.2728,-5.357
6400,-0.4336,-2.5807
0,0.0,-2.6367
12800,-0.625,-4.5487
6400,-0.3168,-1.393
6400,-0.6038,0.1346
9600,-0.4872,-1.6175
3200,-0.158,-0.8138
6400,-0.4336,-1.525
6400,-0.5743,-0.7962
1600,-0.1241,-3.1292
6400,-0.4616,-1.9207
1600,-0.0867,-4.9865
11200,-0.5317,-2.9403
3200,-0.1775,-0.7475
