Reward,Memory (%),Speed (%)
19200,-0.8412,0.0055
1600,-0.0876,-1.4792
1600,-0.0612,-2.3024
1600,-0.1467,-3.7387
8000,-0.3088,-2.2807
0,0.0,-1.7628
1600,-0.1203,-0.5075
1600,-0.1251,-1.8734
6400,-0.2675,-1.2357
17600,-0.4765,-4.0246
8000,-0.3488,-3.3816
12800,-1.3104,-6.4403
17600,-0.739,-6.2676
22400,-1.3759,-2.6593
4800,-0.1565,-2.1322
43200,-1.3097,-3.7526
25600,-0.7268,-0.876
6400,-0.2796,-3.3746
19200,-0.846,-2.5799
1600,-0.0744,-4.8131
12800,-0.411,0.8869
12800,-0.5812,-0.9831
19200,-1.4643,-4.1577
12800,-0.2856,-4.1462
30400,-0.8702,0.2842
25600,-1.2673,-4.091
12800,-0.2348,-5.5328
4800,-0.2805,-2.7772
8000,-0.3535,-2.3866
12800,-0.4744,-4.7165
1600,-0.0827,-4.2534
19200,-0.4256,-3.6087
4800,-0.2307,-4.5885
11200,-0.4213,-4.9094
16000,-0.8522,0.9228
16000,-0.4389,-5.4581
6400,-0.8024,-4.2047
27200,-0.8291,-5.5173
19200,-0.6499,-4.5963
8000,-0.3522,-2.4249
32000,-1.0222,-6.485
19200,-0.5267,-4.0308
43200,-1.0759,-2.8971
9600,-0.4603,2.6582
17600,-0.742,-4.7619
12800,-0.3192,-5.703
28800,-0.6204,-2.002
6400,-0.2836,-3.0528
33600,-0.7947,-2.1727
6400,-0.3251,-10.7575
8000,-0.2853,-4.2085
25600,-0.5582,-1.0519
6400,-0.2728,-3.6869
6400,-0.4336,-4.6287
6400,-0.4432,-4.2426
12800,-0.625,-4.9033
6400,-0.3168,-3.3161
6400,-0.6038,-2.2409
11200,-0.5684,-2.2531
3200,-0.158,-4.311
0,0.0,-5.363
6400,-0.5743,-1.0466
1600,-0.1241,0.1608
6400,-0.4616,-5.1593
1600,-0.0867,-5.6531
11200,-0.5317,-4.3641
3200,-0.1775,-9.2974
