,NumGlobalVars,GlobalVarUsage,TotalInsts,TotalBlocks,BlockLow,BlockMid,BlockHigh,TotalFuncs,TotalMemInst,BeginPhi,ArgsPhi,BBNoPhi,BB03Phi,BBHiPhi,BBNumArgsHi,BBNumArgsLo,testUnary,binaryConstArg,callLargeNumArgs,returnInt,oneSuccessor,twoSuccessor,moreSuccessors,onePred,twoPred,morePreds,onePredOneSuc,onePredTwoSuc,twoPredOneSuc,twoEach,moreEach,NumEdges,CriticalCount,BranchCount,numConstOnes,numConstZeroes,const32Bit,const64Bit,UncondBranches,NumLoadInst,NumCallInst,NumInvokeInst,NumAllocaInst,NumStoreInst,NumGetElementPtrInst,NumAShrInst,NumLShrInst,NumShlInst,NumAddInst,NumSubInst,NumMulInst,NumAndInst,NumOrInst,NumXorInst,NumBitCastInst,NumICmpInst,NumSExtInst,NumZExtInst,NumSelectInst
84,2313,2940,27342,1703,1498,194,11,96,17626,139,282,1564,139,0,0,139,12723,1933,0,403,1019,592,0,1049,502,42,803,242,162,285,0,2203,337,1611,3229,4610,3721,5851,1019,6955,2473,0,999,2864,4335,496,302,490,237,26,8,421,63,106,278,932,2142,1492,0
85,2466,3578,35449,1902,1640,253,9,100,21474,175,354,1727,175,0,0,175,16568,3371,0,578,1141,665,0,1192,546,50,923,264,158,330,0,2471,363,1806,4573,5627,5788,6684,1141,8152,2906,0,1399,3631,5386,795,588,790,277,32,8,926,102,143,722,1196,2641,2117,0
86,1323,3474,27296,2541,2245,293,3,99,17250,190,383,2351,190,0,0,190,11303,1566,0,639,1591,855,0,1635,748,47,1316,315,221,470,0,3301,417,2446,4668,3674,3958,6102,1591,5595,1585,0,1716,4575,3779,232,188,225,426,31,8,480,131,159,329,1419,1270,1493,0
87,3368,3633,25220,1037,908,121,8,67,15256,56,113,981,56,0,0,56,14384,2713,0,166,618,356,0,654,288,30,500,152,92,160,0,1330,201,974,970,3167,5339,1643,618,8415,3236,0,393,735,2477,803,216,801,164,20,6,726,18,48,285,472,3078,2099,0
88,3000,3357,21631,663,587,62,14,60,12761,46,92,617,46,0,0,46,12050,3223,0,107,374,233,0,396,193,18,292,101,66,89,0,840,151,607,995,2041,4785,1252,374,7157,2929,0,335,592,1748,949,357,944,89,16,4,878,12,36,159,302,2503,1800,0
89,5177,5718,38941,1236,1074,148,14,71,23505,58,117,1178,58,0,0,58,21946,4520,0,161,750,419,0,779,353,31,600,176,118,194,0,1588,232,1169,1855,4821,4216,3908,750,12466,4992,0,487,1369,4191,1092,811,1089,192,24,5,1334,24,38,502,517,3547,2965,0
90,861,3245,26130,1998,1694,299,5,99,17549,215,435,1783,215,0,0,215,10663,511,0,739,1201,702,0,1252,592,45,968,281,181,353,0,2605,392,1903,4815,4505,3431,7169,1201,5144,1467,0,1599,4680,4659,24,19,16,300,29,8,174,140,183,285,1531,1445,1579,0
91,1626,3418,32497,2337,2003,325,9,98,20257,204,410,2133,204,0,0,204,13512,2261,0,731,1453,790,0,1495,679,44,1197,296,197,424,0,3033,394,2243,5276,4699,3667,8500,1453,6432,2050,0,1606,5021,5148,315,409,318,364,36,8,851,164,203,502,1533,1531,2058,0
92,4569,7075,37521,1253,1101,126,26,86,27572,86,174,1167,86,0,0,86,19209,1228,0,226,748,423,0,777,360,29,606,166,109,199,0,1594,240,1171,3422,7826,5580,8082,748,11912,4578,0,719,2731,7632,421,17,416,195,20,8,176,48,68,213,640,4804,1219,0
93,4213,5231,40617,1903,1641,247,15,97,22675,157,318,1746,157,0,0,157,22171,5121,0,436,1156,654,0,1208,553,42,939,266,177,320,0,2464,348,1810,2324,4266,4779,3387,1156,11544,4358,0,1191,2155,3427,1196,1180,1188,297,33,8,1274,78,108,690,1060,3652,2647,0
94,3789,4782,43404,1918,1647,252,19,100,27094,147,298,1771,147,0,0,147,20864,4134,0,538,1158,664,0,1217,543,51,929,283,174,310,0,2486,346,1822,4517,6393,6063,8029,1158,10853,4096,0,1356,4255,6534,1323,425,1124,304,25,8,959,107,128,712,1163,3501,2511,0
95,7761,8499,56412,1304,1136,126,42,83,36336,86,174,1218,86,0,0,86,30774,7116,0,241,779,446,0,813,376,30,622,188,126,200,0,1671,251,1225,2148,8270,15527,4364,779,19287,7685,0,698,1434,7232,2427,17,2421,206,19,8,2053,40,47,405,636,6809,3406,0
96,8360,9621,65954,1145,967,128,50,78,36663,76,153,1069,76,0,0,76,39097,9334,0,214,674,397,0,710,330,30,542,166,108,177,0,1468,240,1071,1552,7083,7033,3886,674,20636,8202,0,423,913,6489,1921,2645,1638,176,22,8,2959,24,54,1113,564,7017,5470,0
97,7548,9125,64138,2153,1824,304,25,94,38340,134,270,2019,134,0,0,134,34912,7789,0,485,1339,724,0,1388,626,41,1097,288,203,368,0,2787,364,2063,4007,7605,8932,6349,1339,19423,7536,0,1128,3012,7241,1912,1249,1906,338,25,8,2389,86,99,707,1114,6884,4384,0
98,2188,3616,33241,1967,1658,302,7,101,23125,213,429,1754,213,0,0,213,15048,656,0,712,1177,693,0,1227,588,44,933,289,193,336,0,2563,389,1870,5174,5051,4508,7287,1177,8116,2680,0,1443,5019,5867,71,19,36,275,36,8,242,125,182,130,1429,2835,1911,0
99,4425,6290,49398,2654,2243,401,10,101,33045,241,490,2413,241,0,0,241,24762,2092,0,847,1631,926,0,1685,791,56,1295,386,266,468,0,3483,471,2557,5736,7484,7529,8310,1631,13751,4987,0,1870,5029,7408,376,172,379,379,47,8,764,153,227,540,1788,4095,3459,0
100,4842,8101,34684,1478,1248,222,8,87,25202,90,180,1388,90,0,0,90,19332,532,0,285,895,500,0,923,429,31,712,207,146,233,0,1895,276,1395,2847,5009,4344,5246,895,11975,4661,0,877,2659,5030,39,36,31,229,24,7,199,45,69,163,732,3063,2983,0
101,5123,5971,42227,1220,1047,155,18,67,24370,56,114,1164,56,0,0,56,22376,6568,0,157,766,391,0,787,350,19,637,142,106,208,0,1548,192,1157,2123,5304,6393,5077,766,12373,4904,0,572,1691,4830,2056,432,2055,209,17,5,1826,20,35,394,479,5136,2411,0
102,3319,5402,47522,2840,2365,464,11,101,31179,256,516,2584,256,0,0,256,20089,3101,0,995,1767,976,0,1816,859,48,1428,385,278,522,0,3719,500,2743,7553,7150,6777,11288,1767,10435,3888,0,2078,6911,7867,855,112,850,457,47,8,787,218,266,471,2047,3472,2843,0
103,10505,11275,83082,1847,1562,237,48,98,54074,172,347,1675,172,0,0,172,45904,7988,0,584,1111,642,0,1158,551,38,896,259,178,314,0,2395,363,1753,5248,11678,19080,8217,1111,27303,10792,0,1137,3296,11546,1899,647,1890,290,28,8,3262,125,150,575,1202,9891,6552,0
104,3301,7126,39279,2055,1749,291,15,101,27753,235,474,1820,235,0,0,235,18582,541,0,739,1227,731,0,1278,621,46,993,282,181,378,0,2689,415,1958,5286,6884,4998,9277,1227,10297,3875,0,1572,4996,7013,24,19,16,292,44,8,168,148,226,453,1554,3090,2505,0
105,3854,5557,42976,2529,2170,346,13,100,29695,223,452,2306,223,0,0,223,21434,1042,0,795,1575,858,0,1616,747,51,1301,312,216,473,0,3291,431,2433,5414,5967,6161,7067,1575,12204,4397,0,1893,5206,5995,55,19,47,427,45,8,473,176,221,254,1697,4327,2085,0
106,4513,5607,45183,1794,1561,210,23,98,29138,157,316,1637,157,0,0,157,21999,4219,0,412,1078,622,0,1123,516,46,862,259,163,296,0,2322,326,1700,4735,6252,8017,7237,1078,12155,4739,0,1315,4247,6682,1120,398,1113,266,28,8,1323,90,129,461,1067,4530,3047,0
107,5520,6466,39262,1614,1401,203,10,82,25885,93,186,1521,93,0,0,93,21929,3172,0,300,992,544,0,1021,478,29,795,223,164,264,0,2080,291,1536,1650,5660,7961,3513,992,13764,5335,0,633,1464,4689,573,569,567,253,26,8,1211,47,71,568,789,4340,2303,0
108,2946,4423,38736,2542,2182,354,6,96,26540,227,457,2315,227,0,0,227,18715,754,0,744,1571,879,0,1618,762,50,1262,352,249,457,0,3329,452,2450,4852,7062,7443,7016,1571,10242,3515,0,1857,4511,6415,24,19,16,413,46,8,257,153,207,494,1644,2960,2557,0
109,7396,7663,48998,854,716,101,37,42,29360,28,56,826,28,0,0,28,27772,7630,0,100,530,286,0,551,244,19,431,117,83,140,0,1102,154,816,978,5560,11105,2217,530,16787,7112,0,249,517,4695,2481,1216,2480,137,11,5,1315,5,24,461,331,7419,2788,0
110,4778,6344,51316,1865,1616,224,25,98,29393,140,283,1725,140,0,0,140,25724,7201,0,431,1145,626,0,1186,538,39,945,237,159,321,0,2397,323,1771,4250,6390,5260,7233,1145,13009,4908,0,1234,3808,6434,1458,1935,1451,309,32,8,2044,76,97,898,1004,3973,2904,0
111,1797,4088,27602,1865,1596,265,4,96,18837,149,300,1716,149,0,0,149,11593,1124,0,545,1134,639,0,1169,543,43,905,262,174,313,0,2412,339,1773,4428,4442,3288,6992,1134,6115,2098,0,1314,4333,4977,23,185,15,544,29,8,375,98,142,397,1144,1574,1499,0
112,4781,6066,50936,1796,1502,267,27,99,31197,201,404,1595,201,0,0,201,25332,5722,0,625,1056,645,0,1102,543,44,834,266,174,309,0,2346,383,1701,4342,7368,8390,7922,1056,13564,5211,0,1342,3733,7347,1808,677,1803,292,30,8,1121,118,181,595,1254,5149,3134,0
113,4303,5531,39583,1705,1440,246,19,101,26407,177,357,1528,177,0,0,177,21199,1926,0,589,1010,598,0,1045,509,40,805,237,156,292,0,2206,345,1608,3327,5571,5365,5645,1010,12174,4667,0,1172,3205,5189,379,19,371,232,36,8,927,139,136,293,1170,4050,3013,0
114,4748,6639,44772,1743,1498,216,29,98,32210,151,306,1592,151,0,0,151,23521,862,0,486,1047,602,0,1089,501,45,834,253,161,280,0,2251,328,1649,3732,8831,8272,8189,1047,13833,5001,0,1257,3563,8556,189,19,181,295,26,8,209,85,125,450,1076,4895,2647,0
115,7869,8267,62354,1177,1010,134,33,89,35193,111,224,1066,111,0,0,111,31992,12515,0,289,669,423,0,710,345,35,523,183,115,177,0,1515,271,1092,1907,6273,16155,4060,669,18912,7853,0,625,1641,6162,3700,2097,3695,169,20,8,2867,53,78,332,707,7360,4497,0
116,6027,6948,55148,2049,1772,247,30,100,33579,176,356,1873,176,0,0,176,28664,6567,0,576,1258,695,0,1299,591,47,1032,265,174,355,0,2648,358,1953,3579,6246,10520,6061,1258,16269,6268,0,1272,3581,6189,2128,210,2120,316,36,8,1784,125,171,591,1299,5565,4032,0
117,7073,7652,53158,1317,1156,127,34,87,34170,86,172,1231,86,0,0,86,29271,5696,0,266,789,445,0,827,372,32,646,177,111,209,0,1679,238,1234,2610,7316,11784,4494,789,17436,7084,0,795,2016,6839,1285,16,1277,199,20,8,2926,48,72,355,670,4923,5548,0
118,3362,3582,27065,813,703,98,12,40,15029,29,59,784,29,0,0,29,14771,4558,0,98,514,263,0,524,237,12,422,100,79,137,0,1040,127,777,785,3324,4609,2046,514,8238,3173,0,245,601,2772,1584,437,1583,131,8,3,825,8,22,431,291,3379,1210,0
119,3849,5177,36107,1531,1327,183,21,93,23958,123,246,1408,123,0,0,123,19804,1698,0,391,919,523,0,956,448,33,742,209,143,252,0,1965,289,1442,2843,6156,7398,4115,919,11206,3972,0,981,2163,5636,384,182,376,230,24,8,534,89,121,281,906,4034,2735,0
120,2627,4858,42288,2682,2299,372,11,100,27572,246,499,2436,246,0,0,246,18398,2197,0,905,1661,925,0,1704,806,53,1345,357,252,497,0,3511,473,2586,6154,7419,5274,11070,1661,9096,3219,0,1980,5993,7284,280,404,273,408,31,8,841,178,228,553,1791,2313,3077,0
121,3817,5327,40759,1799,1555,222,22,101,27431,165,332,1634,165,0,0,165,19004,2762,0,445,1081,621,0,1129,527,41,878,246,164,304,0,2323,351,1702,4902,7295,4465,9708,1081,10483,3949,0,1287,4392,7320,485,721,477,288,30,8,805,78,130,437,1084,2470,2641,0
122,4772,5563,43909,1661,1388,256,17,101,29602,197,399,1464,197,0,0,197,23276,2099,0,607,965,599,0,1023,486,45,768,252,151,274,0,2163,355,1564,4600,6154,5666,7002,965,13162,5211,0,1375,3726,6128,624,19,616,265,33,8,589,117,181,379,1234,4423,3407,0
123,7434,7599,51007,815,710,65,40,58,32949,41,82,774,41,0,0,41,30356,4688,0,117,481,280,0,504,227,25,378,123,80,123,0,1041,163,761,974,7820,11837,3389,481,17912,7328,0,377,698,6634,1440,11,1438,116,23,8,1673,21,37,557,351,7441,3983,0
124,5803,6473,48384,1700,1463,213,24,96,29562,129,260,1571,129,0,0,129,26828,4778,0,375,1024,584,0,1065,486,42,817,242,155,277,0,2192,314,1608,3026,5510,5702,4840,1024,14697,5852,0,1157,2706,5150,1539,488,1538,246,27,8,984,94,108,565,963,4428,3765,0
125,4413,5624,48830,2250,1931,301,18,98,30134,209,424,2041,209,0,0,209,23233,5567,0,682,1371,785,0,1425,668,47,1104,317,214,396,0,2941,423,2156,5166,6098,9412,7507,1371,12936,4811,0,1451,4507,6429,1467,935,1462,330,34,8,1362,155,166,487,1448,4696,2898,0
126,3287,4902,47976,2743,2337,395,11,101,30644,256,517,2487,256,0,0,256,21454,3459,0,870,1708,938,0,1764,812,51,1415,347,233,520,0,3584,466,2646,6625,7581,6516,10612,1708,10602,3915,0,2244,6183,7700,809,467,805,460,49,8,871,193,225,673,1814,3831,2645,0
127,1414,3571,29525,2018,1736,275,7,100,19998,200,404,1818,200,0,0,200,10776,1783,0,589,1214,708,0,1257,605,44,968,285,194,354,0,2630,399,1922,5465,5422,3955,8707,1214,5450,1734,0,1438,5310,6066,405,192,397,277,36,8,497,119,169,240,1297,1603,1589,0
128,3484,5075,45036,2398,2061,323,14,101,29773,200,404,2198,200,0,0,200,19853,3841,0,649,1489,812,0,1543,695,48,1221,319,210,425,0,3113,401,2301,5803,7483,9620,8858,1489,11091,3919,0,1810,5393,7560,1340,19,1338,367,41,8,748,159,180,566,1489,3665,2133,0
129,5147,6007,34697,1369,1201,148,20,83,24473,99,198,1270,99,0,0,99,20661,929,0,280,817,473,0,842,404,33,641,198,138,216,0,1763,279,1290,1464,5056,6014,2789,817,13020,5065,0,653,1362,4373,156,38,149,210,18,8,398,43,59,95,666,3871,2799,0
130,3929,5399,50098,2278,1964,293,21,99,30474,186,378,2092,186,0,0,186,22883,5786,0,601,1408,775,0,1452,660,47,1136,313,211,390,0,2958,394,2183,5670,6718,6366,9501,1408,11703,4307,0,1558,5502,7404,1115,1306,1107,385,52,8,1858,143,143,894,1397,3471,2927,0
131,5190,10150,34219,734,637,74,23,56,24556,35,70,699,35,0,0,35,20719,871,0,108,449,233,0,454,213,11,364,88,68,118,0,915,117,682,1710,5325,5314,3436,449,12725,5081,0,349,1180,5221,141,15,138,115,17,5,463,7,36,68,306,4223,3266,0
132,4566,5822,43780,1919,1637,262,20,91,28548,163,327,1756,163,0,0,163,23109,2597,0,529,1168,664,0,1212,566,42,931,278,189,323,0,2496,354,1832,3683,6435,6402,6150,1168,12841,4791,0,1186,3403,6327,601,312,595,305,36,8,782,102,137,434,1166,4786,2697,0
133,7684,8503,62469,1613,1372,206,35,100,35962,141,285,1472,141,0,0,141,34879,8464,0,456,958,559,0,997,473,39,766,227,152,263,0,2076,322,1517,3273,6324,6801,5090,958,18716,7816,0,1082,2624,5724,2876,929,2718,255,24,8,1697,96,118,950,927,6852,3690,0
134,6681,8285,71609,2536,2176,316,44,100,44100,220,442,2316,220,0,0,220,36291,7586,0,812,1581,859,0,1620,746,47,1294,322,218,469,0,3299,432,2440,7271,10476,14524,9201,1581,19259,7236,0,1864,5129,10612,3209,19,2652,421,44,8,1255,147,201,613,1605,10039,3854,0
135,6028,12137,49593,2741,2332,399,10,99,35508,164,331,2577,164,0,0,164,25868,976,0,607,1748,898,0,1788,795,44,1437,347,254,484,0,3544,412,2646,5264,7332,6337,8676,1748,15640,6051,0,1747,4895,7175,134,39,132,465,31,8,218,122,136,479,1390,3754,3766,0
136,2595,5263,21928,1284,1117,165,2,89,15358,99,203,1185,99,0,0,99,12324,303,0,331,752,447,0,785,363,39,593,190,115,195,0,1646,259,1199,1852,3441,3818,2457,752,7517,2755,0,865,1569,2652,23,18,14,186,22,8,57,62,102,160,730,1878,1614,0
137,5320,6358,55480,2361,2002,343,16,99,33332,188,379,2173,188,0,0,188,27846,6224,0,746,1465,801,0,1506,702,44,1197,305,217,426,0,3067,417,2266,4907,6577,6781,11142,1465,14829,5608,0,1511,4588,6796,2217,83,2211,377,31,8,1336,107,190,267,1509,5046,3544,0
138,5991,7868,39390,1536,1330,193,13,95,27461,104,210,1432,104,0,0,104,23250,1667,0,334,923,522,0,962,442,36,740,218,147,241,0,1967,290,1445,2128,4746,6132,3232,923,14859,5931,0,779,1687,4205,310,109,303,218,23,8,741,44,76,191,821,4125,3041,0
139,4110,5299,40052,1788,1528,251,9,101,25822,182,368,1606,182,0,0,182,20149,3515,0,552,1057,634,0,1108,529,45,837,267,173,297,0,2325,379,1691,4182,5324,7598,5331,1057,11747,4422,0,1156,3284,5213,1120,40,1112,264,30,8,982,105,144,365,1185,3958,2477,0
140,5139,5880,36848,1549,1348,189,12,92,26539,97,195,1452,97,0,0,97,20333,1044,0,272,946,515,0,973,450,31,763,207,149,247,0,1976,269,1461,2466,6526,6965,4595,946,12788,5121,0,842,2127,5661,253,65,246,245,25,7,265,42,64,393,728,3463,2584,0
141,7608,9521,80348,2504,2088,367,49,101,47137,237,480,2267,237,0,0,237,38777,12050,0,941,1537,870,0,1600,743,53,1249,348,233,451,0,3277,464,2407,6348,10372,15444,14452,1537,20802,8115,0,1757,5959,10504,3584,1518,3576,402,29,8,2921,157,257,990,1776,7879,4848,0
142,4054,6159,35794,2166,1855,305,6,95,24094,165,332,2001,165,0,0,165,18987,1419,0,563,1337,738,0,1380,644,40,1085,293,207,377,0,2813,394,2075,3349,4838,5716,4522,1337,11375,4179,0,1207,2947,4386,352,69,345,347,24,8,305,87,156,283,1247,3413,2168,0
143,3385,4049,32123,1636,1418,205,13,97,21428,126,257,1510,126,0,0,126,16454,2040,0,370,987,556,0,1030,463,41,805,220,136,269,0,2099,306,1543,2884,4723,5227,4986,987,9629,3501,0,1071,2719,4508,556,203,497,245,27,8,548,74,96,268,901,3337,1635,0
144,7057,7303,43110,1062,913,129,20,75,30353,84,169,978,84,0,0,84,26141,1828,0,228,614,377,0,646,314,28,482,161,107,164,0,1368,235,991,1450,5364,4930,4167,614,16545,6945,0,495,1356,5012,465,16,458,147,15,8,745,33,49,194,552,3888,4835,0
145,4861,6329,44125,1898,1609,275,14,98,27677,147,296,1751,147,0,0,147,21950,4872,0,498,1158,646,0,1192,559,40,936,252,177,324,0,2450,352,1804,3575,6303,8369,6951,1158,12770,4970,0,1076,3104,5757,1261,581,1256,280,33,8,1506,80,114,572,1156,4422,2713,0
146,4437,5590,42880,2158,1859,284,15,97,30251,201,405,1957,201,0,0,201,22066,786,0,592,1323,742,0,1367,638,46,1073,291,201,381,0,2807,394,2065,4550,6506,5740,7427,1323,12919,4776,0,1394,4410,6752,24,19,16,315,38,8,402,121,177,289,1373,3701,3264,0
147,6501,6819,44419,1230,1056,148,26,77,28889,83,166,1147,83,0,0,83,26379,3608,0,206,734,423,0,768,356,28,592,173,113,199,0,1580,243,1157,1413,5738,8111,3071,734,15932,6369,0,567,1218,4803,861,281,856,182,21,7,1436,30,52,316,589,6388,3001,0
148,7016,7797,46978,1299,1129,139,31,97,33564,103,209,1196,103,0,0,103,28589,1143,0,279,758,448,0,800,367,37,614,181,107,202,0,1654,259,1206,1673,7144,8493,3879,758,17765,7105,0,840,1590,6264,187,18,96,190,32,8,648,40,84,109,701,4689,4777,0
149,4867,5774,48293,2049,1750,282,17,96,30806,146,294,1903,146,0,0,146,23506,4847,0,482,1263,694,0,1317,588,40,1035,279,183,348,0,2651,358,1957,4674,7923,9517,8368,1263,13155,5004,0,1283,3794,7570,1567,221,1560,337,30,8,1146,80,117,410,1134,5010,3250,0
150,6551,8685,38970,1028,861,157,10,38,27634,32,64,996,32,0,0,32,23759,1716,0,125,674,320,0,677,312,4,557,118,110,184,0,1314,134,994,1009,5208,5608,2840,674,15349,6231,0,263,828,4963,362,156,361,176,8,3,668,10,11,241,367,4713,2803,0
151,6496,9165,50148,1787,1527,242,18,100,33828,148,299,1639,148,0,0,148,28114,2665,0,524,1074,617,0,1124,517,44,858,262,172,287,0,2308,336,1691,3486,6042,7624,5401,1074,16633,6699,0,1219,3450,5827,685,19,677,292,35,8,1011,91,157,202,1124,6187,3433,0
152,4641,5552,45822,2423,2015,395,13,99,31408,238,480,2185,238,0,0,238,24199,1165,0,854,1482,846,0,1537,735,46,1198,336,234,442,0,3174,468,2328,4030,7963,7039,8144,1482,14102,5133,0,1551,3806,6816,288,19,280,393,33,8,153,142,219,305,1648,4572,3097,0
153,5211,6277,44532,1740,1493,231,16,98,29013,126,254,1614,126,0,0,126,23978,3288,0,444,1057,589,0,1094,500,40,855,236,160,283,0,2235,310,1646,3398,5989,6547,6831,1057,13741,5372,0,1160,2967,5773,1104,461,758,271,32,8,699,87,110,522,1022,4643,2453,0
154,7461,9548,58466,2177,1852,296,29,101,37802,210,428,1967,210,0,0,210,33003,3850,0,768,1319,761,0,1374,638,54,1054,318,208,370,0,2841,405,2080,3864,6694,6873,6489,1319,18815,7960,0,1674,3512,5841,479,910,471,333,36,8,1625,165,210,596,1502,4295,5437,0
155,3438,6299,32813,1943,1664,273,6,100,22380,186,375,1757,186,0,0,186,17910,620,0,600,1175,672,0,1220,574,42,954,260,173,342,0,2519,366,1847,3055,4364,4875,4258,1175,10387,3754,0,1420,2999,3820,24,19,16,377,28,8,188,92,144,177,1281,3168,2231,0
156,8109,9323,54407,2805,2325,477,3,83,33971,80,163,2725,80,0,0,80,31629,3979,0,406,1818,908,0,1858,829,36,1498,357,288,492,0,3634,425,2726,2242,7166,6733,4009,1818,18776,7276,0,541,1934,5444,108,1090,101,514,20,8,2159,34,70,70,1112,5087,6832,0
157,7919,8409,56881,992,862,76,54,67,37744,47,94,945,47,0,0,47,33096,4570,0,159,589,340,0,615,283,26,468,145,96,151,0,1269,199,929,1422,9336,12393,4499,589,19712,7809,0,406,1016,8801,1574,493,1570,156,19,8,780,21,36,485,443,9087,1838,0
158,3248,5027,31447,1844,1575,266,3,97,21730,146,293,1698,146,0,0,146,15756,816,0,469,1123,628,0,1159,539,38,905,251,171,310,0,2379,337,1751,3907,4744,4428,5839,1123,8851,3358,0,1394,3538,4589,24,97,17,314,24,8,366,93,118,321,1131,1831,2965,0
159,6023,7967,48044,1815,1555,240,20,100,34127,151,302,1664,151,0,0,151,26505,1572,0,504,1099,620,0,1129,538,37,880,246,173,305,0,2339,340,1719,3771,7231,7725,6794,1099,16349,6206,0,1201,3220,7151,403,140,395,278,29,8,360,108,137,359,1114,4835,3282,0
160,5874,6624,44009,1549,1355,165,29,92,30311,129,259,1420,129,0,0,129,25344,1748,0,388,925,536,0,972,445,38,752,216,136,254,0,1997,301,1461,2345,7200,8446,3975,925,15311,5979,0,864,2006,6151,516,17,507,215,26,8,493,56,105,197,884,5584,3063,0
161,5625,6859,45086,1441,1221,204,16,98,30770,145,292,1296,145,0,0,145,25252,1950,0,431,834,513,0,878,423,40,657,217,139,226,0,1860,312,1347,3305,6313,5321,6209,834,14554,5798,0,1080,3191,6147,444,394,436,199,25,8,485,77,113,283,907,4110,4087,0
162,5407,6354,46878,1655,1428,206,21,98,30480,138,277,1517,138,0,0,138,23396,5312,0,454,1004,557,0,1054,462,40,846,205,118,287,0,2118,292,1561,3919,6709,10444,6911,1004,14111,5573,0,1330,3328,6138,1331,671,1326,253,36,8,1731,102,119,359,1049,3987,3267,0
163,5917,7292,63439,2143,1823,288,32,100,37252,181,364,1962,181,0,0,181,31763,8535,0,641,1304,743,0,1353,622,52,1037,312,201,365,0,2790,386,2047,5202,9136,13306,10207,1304,16752,6345,0,1366,3908,8881,2089,1169,2083,306,28,8,2883,130,170,1277,1328,5894,4462,0
164,1753,3979,38830,2610,2220,379,11,101,24229,255,517,2355,255,0,0,255,16748,2559,0,904,1616,897,0,1662,764,58,1318,341,228,477,0,3410,452,2513,6100,5341,4357,9621,1616,7919,2432,0,1935,5981,5962,304,549,298,374,39,8,1003,175,219,498,1849,2311,2284,0
165,2408,3128,27575,1614,1384,222,8,99,19678,146,295,1468,146,0,0,146,12761,660,0,438,963,556,0,999,465,42,761,233,152,254,0,2075,312,1519,3978,4179,3496,5992,963,7286,2603,0,1261,3876,4652,75,19,68,252,27,8,254,89,108,189,999,2197,1439,0
166,1553,4056,25915,1829,1590,232,7,99,18418,151,305,1678,151,0,0,151,10264,464,0,522,1112,622,0,1152,526,41,906,243,155,310,0,2356,329,1734,4965,4478,3098,7777,1112,5320,1734,0,1370,4665,5329,24,19,16,283,25,8,123,113,143,219,1165,1285,1633,0
167,2613,3270,31866,1527,1322,195,10,95,19383,143,286,1384,143,0,0,143,14550,3885,0,376,902,534,0,938,453,37,721,214,141,255,0,1970,317,1436,3072,5389,5346,7849,902,7800,2766,0,933,2867,5017,1288,199,1286,219,25,8,881,69,107,349,890,2787,1664,0
168,3366,4257,34784,1150,991,137,22,92,18752,105,212,1045,105,0,0,105,17820,5860,0,272,657,405,0,689,324,38,517,169,100,168,0,1467,244,1062,2436,3781,4559,4553,657,8973,3469,0,784,1940,3586,1664,1054,1658,159,27,6,1332,53,82,542,655,3402,1806,0
169,8021,8933,67650,1995,1700,266,29,91,37004,136,274,1859,136,0,0,136,38095,9985,0,408,1224,684,0,1268,583,43,985,281,193,334,0,2592,365,1908,3497,6403,7117,4782,1224,19929,7935,0,881,2307,5952,1284,2912,1277,311,28,8,4205,54,109,1044,1018,6972,6025,0
170,3580,6551,31173,1854,1580,269,5,87,19934,132,268,1722,132,0,0,132,17117,1676,0,382,1142,629,0,1182,544,36,930,249,177,316,0,2400,332,1771,2527,3600,4064,3585,1142,9774,3533,0,974,2415,3238,329,215,322,333,20,8,483,78,105,316,968,2933,2462,0
171,1922,3230,25028,1379,1199,173,7,96,17114,114,231,1265,114,0,0,114,10780,1328,0,372,807,480,0,846,391,38,643,199,122,211,0,1767,278,1287,3685,4528,3433,6775,807,5857,2098,0,946,3305,4908,359,19,352,196,29,8,414,75,102,202,866,1960,1483,0
172,917,3051,28437,2214,1886,321,7,101,18441,240,486,1974,240,0,0,240,11320,1203,0,840,1335,782,0,1383,656,54,1079,302,190,407,0,2899,429,2117,5294,4328,4232,7134,1335,5221,1524,0,1863,5206,4627,137,109,129,334,55,8,462,170,212,212,1666,1433,1888,0
173,3624,7354,26633,1368,1178,182,8,87,18645,129,259,1239,129,0,0,129,15658,310,0,328,793,492,0,837,404,37,620,214,136,215,0,1777,303,1285,1693,3222,3196,2852,793,9827,3655,0,651,1611,2901,23,18,15,191,26,8,63,48,85,82,810,2885,1969,0
174,3228,4146,36697,1725,1520,187,18,100,20552,145,293,1580,145,0,0,145,18926,4730,0,383,1042,587,0,1087,492,41,853,227,141,293,0,2216,308,1629,3132,4343,4296,5220,1042,9327,3465,0,1293,2612,3855,681,1276,674,264,31,8,1850,70,108,636,983,2513,2565,0
175,1847,3296,19025,1307,1151,153,3,93,12377,112,226,1195,112,0,0,112,9438,993,0,321,773,445,0,800,380,30,618,177,117,208,0,1663,254,1218,1989,2456,2942,2883,773,5415,1905,0,758,1974,2325,221,68,214,189,21,7,317,68,90,186,749,1507,1305,0
176,2326,3292,25795,1701,1454,241,6,88,16326,133,267,1568,133,0,0,133,11943,2153,0,397,1031,586,0,1072,501,37,824,244,169,281,0,2203,325,1617,3143,3744,4347,5112,1031,6724,2352,0,917,2674,3659,608,255,603,249,21,8,439,73,104,387,950,2305,1333,0
